,nome,nos,arcos,a/g,gmax,gmin,max_fm,max_cmin,nreq,mreq,max_reqs,max_reqc,std_reqs,std_reqc,obj,metodo,tempo
0,att,90,274,3.0444444444444443,12,4,6,11,359,3.988888888888889,32,28,8.559762734877834,8.501810044482259,26,kapov_ffd fm,1.249678611755371
1,att2,71,350,4.929577464788732,26,4,9,7,2918,41.098591549295776,72,79,20.096307357733632,19.60113329783143,113,kapov_ffd cm,20.995139360427856
2,brasil,27,140,5.185185185185185,20,4,9,6,1370,50.74074074074074,64,72,4.950466897891805,7.8622398090375505,48,kapov_bfd cm,1.937047004699707
3,eon,20,78,3.9,14,4,7,5,373,18.65,27,26,4.145701642094274,4.738143096192854,22,kapov_bfd cm,0.35928988456726074
4,fin,31,102,3.2903225806451615,12,4,5,7,930,30.0,30,30,0.0,0.0,47,kapov_bfd cm,1.8120734691619873
5,giul,39,172,4.410256410256411,16,6,7,6,14732,377.7435897435897,547,547,108.44831850598067,108.44831850598067,397,kapov_ffd cm,89.77594184875488
6,mesh10x10.100,100,400,4.0,8,8,4,10,9900,99.0,99,99,0.0,0.0,137,criaantes_bfd cm,58.29840970039368
7,mesh10x10.20,100,400,4.0,8,8,4,10,1975,19.75,28,31,3.459360015547922,3.693770349377367,31,criaantes_bfd cm,8.154335260391235
8,mesh10x10.40,100,400,4.0,8,8,4,10,3894,38.94,48,49,4.56561589326659,4.83008250133442,57,criaantes_bfd cm,17.608969926834106
9,mesh10x10.60,100,400,4.0,8,8,4,10,5967,59.67,70,70,4.548404093523332,4.681912326208494,85,criaantes_bfd cm,29.566822290420532
10,mesh10x10.80,100,400,4.0,8,8,4,10,7959,79.59,88,88,4.022901611242484,4.36027753726987,112,criaantes_bfd cm,43.35603904724121
11,mesh4x25.100,100,400,4.0,8,8,4,14,9900,99.0,99,99,0.0,0.0,319,kapov_ffd cm,127.84950280189514
12,mesh4x25.20,100,400,4.0,8,8,4,14,1975,19.75,28,31,3.459360015547922,3.693770349377367,69,kapov_bfd cm,12.077567100524902
13,mesh4x25.40,100,400,4.0,8,8,4,14,3894,38.94,48,49,4.56561589326659,4.83008250133442,130,kapov_bfd cm,30.945841073989868
14,mesh4x25.60,100,400,4.0,8,8,4,14,5967,59.67,70,70,4.548404093523332,4.681912326208494,196,criaantes_bfd cm,69.37227654457092
15,mesh4x25.80,100,400,4.0,8,8,4,14,7959,79.59,88,88,4.022901611242484,4.36027753726987,261,criaantes_bfd cm,112.67629599571228
16,mesh5x20.100,100,400,4.0,8,8,4,12,9900,99.0,99,99,0.0,0.0,255,kapov_bfd cm,123.00437593460083
17,mesh5x20.20,100,400,4.0,8,8,4,12,1975,19.75,28,31,3.459360015547922,3.693770349377367,55,kapov_bfd cm,11.466043949127197
18,mesh5x20.40,100,400,4.0,8,8,4,12,3894,38.94,48,49,4.56561589326659,4.83008250133442,103,kapov_ffd cm,25.29543113708496
19,mesh5x20.60,100,400,4.0,8,8,4,12,5967,59.67,70,70,4.548404093523332,4.681912326208494,157,kapov_bfd cm,54.74556064605713
20,mesh5x20.80,100,400,4.0,8,8,4,12,7959,79.59,88,88,4.022901611242484,4.36027753726987,208,criaantes_bfd cm,103.7187442779541
21,mesh6x17.100,102,408,4.0,8,8,4,11,10302,101.0,101,101,0.0,0.0,220,criaantes_bfd cm,130.51533579826355
22,mesh6x17.20,102,408,4.0,8,8,4,11,1975,19.362745098039216,28,31,4.393490269280548,4.576715099577262,46,kapov_bfd cm,10.575606107711792
23,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,88,kapov_bfd cm,25.51638388633728
24,mesh6x17.60,102,408,4.0,8,8,4,11,5967,58.5,70,70,9.4552096803302,9.518871303420859,133,kapov_ffd cm,41.93677067756653
25,mesh6x17.80,102,408,4.0,8,8,4,11,7959,78.02941176470588,88,88,11.783068808321643,11.900125535865795,176,criaantes_bfd cm,87.75405383110046
26,mesh8x13.100,104,416,4.0,8,8,4,10,10712,103.0,103,103,0.0,0.0,171,criaantes_bfd cm,89.27598404884338
27,mesh8x13.20,104,416,4.0,8,8,4,10,1975,18.990384615384617,28,31,5.105670162848345,5.26113279600855,36,kapov_bfd cm,9.091601610183716
28,mesh8x13.40,104,416,4.0,8,8,4,10,3894,37.44230769230769,48,49,8.755388823907499,8.890735794767913,68,kapov_bfd cm,19.99753975868225
29,mesh8x13.60,104,416,4.0,8,8,4,10,5967,57.375,70,70,12.362790632903629,12.410602654683098,101,kapov_bfd cm,35.00309419631958
30,mesh8x13.80,104,416,4.0,8,8,4,10,7959,76.52884615384616,88,88,15.877539078818309,15.962916206049078,135,kapov_bfd cm,51.19266867637634
31,nsf12,14,42,3.0,8,4,4,3,551,39.357142857142854,51,53,6.499788669430164,6.605442311599439,40,kapov_ffd cm,0.37491369247436523
32,nsf212,14,44,3.142857142857143,8,6,4,3,551,39.357142857142854,51,53,6.499788669430164,6.605442311599439,41,kapov_bfd cm,0.40614771842956543
33,nsf3,14,42,3.0,8,4,4,3,285,20.357142857142858,30,27,5.077963596336064,4.325366020210453,28,kapov_ffd fm,0.17183303833007812
34,sun,27,102,3.7777777777777777,12,4,6,7,952,35.25925925925926,123,123,33.718965894117524,33.718965894117524,59,kapov_ffd fm,0.49988269805908203
35,y3-40-5,100,350,3.5,20,2,7,7,3996,39.96,54,50,4.633911016963027,4.320306760526445,60,kapov_bfd cm_fm,18.355036735534668
36,y3-60-5,100,350,3.5,20,2,7,7,5990,59.9,74,71,4.6957965299302575,4.337992832887327,88,kapov_bfd cm,29.854686498641968
37,y3-80-1,100,344,3.44,16,2,7,7,7959,79.59,88,88,4.022901611242484,4.36027753726987,123,kapov_bfd cm_fm,45.80654835700989
38,y3-80-5,100,350,3.5,20,2,7,7,7924,79.24,89,91,4.21905250505419,3.565037860878191,115,kapov_bfd cm,43.030091762542725
39,y4-100-1,100,440,4.4,20,4,9,6,9900,99.0,99,99,0.0,0.0,90,kapov_bfd cm,50.41693711280823
40,y4-20-4,100,442,4.42,24,4,9,6,1989,19.89,28,28,4.261395892133814,3.5216358687290756,21,kapov_bfd cm,8.044954776763916
41,y4-60-5,100,430,4.3,16,4,8,6,5990,59.9,74,71,4.6957965299302575,4.337992832887327,59,kapov_bfd cm,28.026911735534668
42,y4-80-1,100,440,4.4,20,4,9,6,7959,79.59,88,88,4.022901611242484,4.36027753726987,73,kapov_bfd cm,39.21198892593384
43,y4-80-5,100,430,4.3,16,4,8,6,7924,79.24,89,91,4.21905250505419,3.565037860878191,76,kapov_bfd cm,39.01253342628479
44,y5-100-1,100,570,5.7,20,4,10,5,9900,99.0,99,99,0.0,0.0,60,kapov_bfd cm,49.934723138809204
45,y5-100-2,100,504,5.04,18,4,9,5,9900,99.0,99,99,0.0,0.0,77,kapov_bfd cm,50.762736082077026
46,y5-60-1,100,570,5.7,20,4,10,5,5967,59.67,70,70,4.548404093523332,4.681912326208494,38,kapov_bfd cm,28.201005220413208
47,y5-80-1,100,570,5.7,20,4,10,5,7959,79.59,88,88,4.022901611242484,4.36027753726987,49,kapov_bfd cm,39.07117319107056
48,y5-80-2,100,504,5.04,18,4,9,5,7911,79.11,88,88,3.725139818405031,4.211324319647268,61,kapov_bfd cm,38.708842277526855
49,zib54,54,160,2.962962962962963,20,2,9,8,12230,226.4814814814815,3896,2558,599.1169835916459,476.27250566308567,599,kapov_ffd cm,130.84358549118042
